link,job title,location,team,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545731,Senior Manager - Product Development,Luxembourg City- Luxembourg,,· 7+ years of relevant experience· Experienced people manager· Strong business judgment with a track record of successful negotiations and overall relationship management.· Proven analytical thinking- project management skills- and exceptional organizational skills are essential.· Ability to think strategically and tactically- with attention to detail.· Tenacity to develop ideas independently and thrive in a fast-paced start-up environment is essential for success.· Candidate must have strong communication skills and be fluent in English.,· Experience in Retail/FMCG industry is a plus· Master’s degree/ MBA preferred· Additional European languages is a plus· Experience in SQL will be a plus,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545718,EU CF Learning Analyst,Luxembourg City- Luxembourg,Human Resources - Fulfillment,· Bachelors' degree· - Web development skills (proficient in at least one programming or scripting language and its associated development environment.)· - Basic object oriented design analysis skills· - Strong information engineering and software programming skills to deliver IT solutions to the business· - Strong analytical skills to formulate logic for new systems- devise logic procedures- prepare flowcharting- write new code- and test/debug new programs· - Understand of basic data structures and algorithms· - Passion and capability in business systems analysis· - Proficient with RDBMS technology fundamentals- data modelling- SQL- and query optimization· - Knowledge of Amazon data and financial systems· - DAX language programming a plus,About our rewardsWe’ll expect you to go the extra mile- but we’ll also make sure you’re well rewarded. As well as a competitive salary- stock units and site performance-related pay potential- we offer a whole host of other benefits- including an employee discount- private health care and pension scheme. If you thrive in a challenging and fast-paced environment- you’ll meet your match with us- as you will be part of a vibe of constant improvement- where the things you do one moment- you will not necessarily be doing 6 months later. We don’t like to sit still- which is why we always treat every day like the first day. A day to make more good things happen for our customers. It’s that kind of spirit that drives our success now and keeps us ahead of the competition in the future. And you could be part of it. It’s as simple as this: Work Hard. Have Fun. Make History.Sounds interesting? We look forward to your application and portfolio. Please submit your online application in one document including your CV and covering letter (both written in English- max. 5MB) stating your earliest start date and salary expectations separately in the applicant form.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies' recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545672,Sr FBA Analytics Manager- EU Marketplace,Luxembourg City- Luxembourg,Marketplace - LU,· BA/BSc degree in Statistics- Math- business- engineering or computer science· 5+ years of professional experience in data modeling / advanced business analytics/ Analytical Program Management· Advanced knowledge of SQL and experience with efficient processing of large data sets is a must· Experience in designing and building data infrastructure / automated reporting tools· Ability to think strategically and creatively while executing methodically with high attention to detail and operational excellence· Bias for action- and experience making things happen in a fast-paced- dynamic environment· Excellent written and verbal communication skills with the ability to present complex information in a clear and concise manner to a variety of audiences,· Master’s or higher degree in an analytical area such as Computer Science- Physics- Mathematics- Statistics- Engineering· Advance Knowledge and direct experience using BI reporting tools,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545655,Sr Product Manager EU Expansion,Luxembourg City- Luxembourg,Retail and Seller Services Training,- 5-10 years of work experience- of which at least 2 years’ experience analyzing and improving the performance of a business- Exceptional analytical skills with a great attention to detail- Intense customer focus- Hands-on- results-oriented mentality- combined with the ability to meet tight deadlines- Strong computer skills (e.g. Excel- Access- SQL) and the willingness to develop those further.- Enjoys working in international cross-functional teams- Strong communication skills and able to conduct business in English,- MBA- Experience in online retailing- Language skills in other European languages are a plus,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545605,Senior Program Manager - Amazon Air Strategy,Luxembourg City- Luxembourg,Amazon Logistics- Europe,- Master of Science in Supply Chain- Transportation- Engineering- Logistics or similar fields- 7+ years of experience in a planning & engineering leadership role in transportation/logistic- 3+ years experience in managing large cross-functional programs of more than $50MM yearly operating costs- experience in cargo airline operations industry is a plus- demonstrated experience in performing complex analysis/solving complex business problems- Fluency in English is required- Ability to travel up to 15% time to various facilities in the Amazon network,· MBA preferred· PMP certification preferredAbout our rewardsWe’ll expect you to go the extra mile- but we’ll also make sure you’re well rewarded. As well as a competitive salary- stock units and site performance-related pay potential- we offer a whole host of other benefits- including an employee discount.Additionally- you will find yourself in a stimulating environment where you can develop processes as well as yourself as an individual by working with some of the best and brightest minds in the industry. Our rapidly growing organisation offers also many opportunities for building a diverse and rewarding career.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545604,AWS - Business Development Manager -- Accelerators & Incubators,Luxembourg City- Luxembourg,Sales- Marketing- and Account Management,· Deep experience and knowledge within the startup ecosystem as a founder and/or investor.· Technical and analytical- possessing substantial business development- technical account management- or program/product management experience.· Some relevant business level technical knowledge is required- such as: database systems- core distributed computing concepts- fundamentals of cloud computing and virtualization- storage systems- content delivery networks (CDNs) etc. with ability to go deep enough on technical aspects to differentiate between varied AWS services· Experience working within the technology industry is highly desired· Strong verbal and written communications skills are a must- as well as leadership skills.· Degree required,· Prior experience working in a similar role and working environment· Previous cloud knowledge- understanding of the lifecycle and needs of startups· Proven entrepreneurship experience (founder)· Experience with account management- relationship management and solution selling· Demonstrated ability to work effectively across internal and external organizations.aws-bdm-ea,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545153,EU Prime Sr. Product Manager,Luxembourg City- Luxembourg,team-lu-amazon-prime,• Bachelor's Degree in Computer Science or related industry experience• Minimum of 7+ years of product & program management experience, preferably within a product team- professional services firm or similar environment• Experience working with stakeholders across many functions,• Experience interpreting and communicating analytics• Demonstrable teamwork skills and resourcefulness• Possess self-drive to keep moving things forward even in the face of ambiguity and imperfect knowledge (avoid “analysis paralysis”)• Strong sense of ownership- urgency- and drive• Sharp analytical abilities and proven design skills• Strong written and verbal communication skills- including fluency in at least one European language.,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545131,Senior Program Manager - Amazon Air Strategy,Luxembourg City- Luxembourg,Amazon Logistics- Europe,- Master of Science in Supply Chain- Transportation- Engineering- Logistics or similar fields- 7+ years of experience in a planning & engineering leadership role in transportation/logistic- 3+ years experience in managing large cross-functional programs of more than $50MM yearly operating costs- experience in cargo airline operations industry is a plus- demonstrated experience in performing complex analysis/solving complex business problems- Fluency in English is required- Ability to travel up to 15% time to various facilities in the Amazon network,· MBA preferred· PMP certification preferredAbout our rewardsWe’ll expect you to go the extra mile- but we’ll also make sure you’re well rewarded. As well as a competitive salary- stock units and site performance-related pay potential- we offer a whole host of other benefits- including an employee discount.Additionally- you will find yourself in a stimulating environment where you can develop processes as well as yourself as an individual by working with some of the best and brightest minds in the industry. Our rapidly growing organisation offers also many opportunities for building a diverse and rewarding career.Make HistoryAmazon.com- a Fortune 500 company based in Seattle- Washington- opened on the World Wide Web in July 1995 and today offers Earth’s Biggest Selection. Since Jeff Bezos started Amazon.com- we have significantly expanded our product offerings- international sites- and worldwide network of fulfilment and customer service centres. Today- Amazon.com offers everything from books and electronics to tennis rackets and diamond jewellery. We operate sites in the United Kingdom- Germany- France- Japan- Canada- Italy- Spain and China (Joyo.com) and maintain over 80 fulfilment centres around the world which encompass more than 26 million square feet.If you thrive in a challenging and fast-paced environment- you’ll meet your match with us- as you will be part of a vibe of constant improvement- where the things you do at one moment- you will not necessarily be doing 6 months later. We don’t like to sit still- which is why we always treat every day like the first day. A day to make more good things happen for our customers. It’s that kind of spirit that drives our success now and keeps us ahead of the competition in the future. And you could be part of it. It’s as simple as this: Work Hard. Have Fun. Make History.Sound interesting? We wait for your application.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545122,Trans Ops Analyst,Luxembourg City- Luxembourg,Fulfillment Transportation,· The ideal candidate has 2+ years of experience working with the transportation delivery industry- sales- strategy and/or product/business development. Young graduates can also be considered for this role.· Bachelor's degree or equivalent with excellent academic record- with Logistics/Supply Chain/Mathematics/Science/Engineering subjects preferable.· Ability to prepare- report and interpret large sets of data.· Proficiency in Advanced Excel (advanced functions and VBA)· Fluent in English. Further additional EU languages also beneficial.· Excellent communication- both verbal and written as one may be required to create a narrative outlining weekly findings and the variances to goals- and present these finding in a review forum.· Strong inter-personal and relationship-building skills· An entrepreneurial mindset- with the tenacity to develop ideas independently and thrive in fast-paced environment is crucial.,· Proficiency in SQL is desired· Master’s degree or equivalent in Logistics/Supply Chain/Mathematics/Science/Engineering/Business Development· Experience developing and growing a business/start-up/associationBy submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build. We welcome applications from all members of society irrespective of age- sex- disability- sexual orientation- race- religion or belief.,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545077,Senior Financial Analyst,Luxembourg City- Luxembourg,Operations Finance,o Fluent in Englisho BA/BS degree in Finance- Accounting- Business and/or similar discipline with analytical biaso Experience with COGNOS and SQL is a strong plus,o Excellent analytical skill- ability to get into the details- while also seeing and understanding the big pictureo Strong skills in accessing and using analytical tools and modellingo Demonstrated ability to meet deadlines while managing multiple projectso Strong interpersonal skills including written and oral communication skills,,,,,,,,,,,,
